accession_number	short_title	description	fabric
25.9.4	Attic; Corinthian black figure; white ground lekythos	Body, shoulder and neck white ground.  Cup mouth is black. Handle black on the back and cream ground underneath.  On shoulder are two rows of radiating bars.  Body design is an ivy-spray, with circles of dots and heart shaped leaves, between bands of grille pattern, at front only and all in black.  Three wet-incised lines below.  Side and base of foot heavily ruddled. Footring reserved.	Attic; Corinthian
26.11.33	 	 	 
26.11.47	 	 	 
26.12.1	Corinthian late protocorinthian aryballos	On mouth two concentric circles. Three horizontal bands on the handle. No shoulder decoration. On body, six (or seven?) thin bands above three thick ones.  Base is slightly concave and reserved.	Corinthian
26.12.10	Attic black figure skyphos	Inside black with reserved line at top. Two handles are balck on top but reserved underneath.  Outer surface top to bottom, black band on offset rim, ivy leaves, black line, inverted ivy leaves, black band, thin band, main design, three black bands, alternating red and black tongues, red ridge, black foot. Main design is similar both sides and shows a wedded pair in chariot with many onlookers or attendants of both genders.  On far side of chariot is a bearded man between two women.  Onlookers appear to be mostly in pairs.  Women originally had white painted flesh.  Clothing detail is incised. Foot is black on top but lowest point of side is reserved.  Inner foot ring is black and base is reserved except for a black band in the centre.	Attic
26.12.11	Attic black figure skyphos	Inside black with reserved line round lip and reserved disk with one black circle in the bottom.  Handle is black on top and reserved underneath. Outer surface, from top to bottom has black band, ivy leaves, black band, inverted ivy leaves, two black bands, main design, three black bands, broad black band, three narrow bands, red and black alternating bars, black band, red ridge, black foot.  The main design is similar both sides of Amazons fleeing a quadriga (four horse chariot).  Four sirens, facing handles, one each side.  Horses are black with detail in red and white.  Lower part of side of foot reserved, as is resting surface.  Inner foot ring black with base reserved except for a central dot and two rings in black.	Attic
26.12.12	Attic black figure skyphos	Inside is black with reserved line at lip.  The rim isblack on the outside.  The object is reserved apart from the design of two boxers between two seated men who are facing them.  On each side of the scene are the tips of the wings of sphinxes, who were presumably facing the handles.  Red is used for hair and folds in garments.  Detail is incised.	Attic
26.12.13	Attic black figure oinochoe	Lip, handle, neck and back of body all black. Reserved panel in front with main design and two sets of parallel, vertical black lines either side of a double row of dots. Horizontal row of tongues at top. Main design of Amazon on horseback with pelta (shield) and two spears, wearing helmet. At the bottom of the panel, running all the way around is a painted red line, now hardly visible. Foot is black on top and side but reserved on resting surface and underside.	Attic
26.12.14	Attic black figure oinochoe	Lip, handle, neck and back of body all black. Horizontal row of nine tongues at top, just below neck, above main, reserved panel, with two parallel, vertical black lines either side of panel (shields ?). Main design of warrior facing right, with helmet, shield, and spear. Ivy leaves on stems in field. Foot is black on top and side, but reserved on resting surface.	Attic
26.12.15	Attic black figure droop cup	Inside is black with a reserved line halfway down rim and a reserved centre circle with a black band and a central dot.  The rim is vertical and offset slightly.  Two handles are black all over.  Outside design, from top to bottom is, black rim, lotus bud and dots linked with chain, black band with narrower bands either side, alternating buds and dots slighlty diagonal, black band with narrower bands either side, rays.  At top is a red ridge that then leads to a ribbed and reserved stem.  The lower half is black as is the top of the foot and the side.  The foot has a thicker ridge around the edge resulting in a channel effect going all the way around it. The resting surface and conical base are reserved apart from the inner ring of the foot which is black.	Attic
26.12.16	Attic black figure kylix	Probably Kleinmeister type.  Forepart of horse?, woman to right in mantle decorated with purple, white and incisions, facing man to left in black mantle.  Lower part only of figures preserved.  Below a black band.  Interior is black.	Attic
26.12.17	Attic black figure kylix	Inside is black except for a reserved rim and a medallion at the centre with a dancing woman inside and with bands around the edge.  Two handles, black on top and reserved underneath. Side A is a charioteer mounting quadriga, beside horses is a lyre player and at handles is a satyr pursuing woman.  Side B is similar, but woman and satyr have changed places.  Dots and branches with dots along in the field.  Under each handle is a single ivy leaf. Black band, then black stem to foot. Top of foot is black but side is reserved as is the base which is flat except for a central concave black circle.	Attic
26.12.18	Attic black figure kylix	Inside is black with reserved rim and central medallion outlined with bands and has a picture of a man with a staff.  Figures in black with incised detail.  Two handles, one on each side, are black on the top and reserved underneath. Below each handle is a single ivy leaf.  The outer surface has a similar picture both sides of a satyr attacking a maenad between two palmettes.  Branches with fruit in the field.	Attic
26.12.19	Attic black figure; added white lekythos	Handle black on outside and reserved underneath.  Shoulder: rays and long, thin lotus buds; black band at join with body. Top of bod: two rows black dots bordered by smaller white dots.  Body:  ram in cauldron set on tripod over a fire, flanked by two females holding wreaths on either side. Below is a broad black band with a thin band between reserved bands either side. Lower step of foot black; base reserved.\\n\\nThis is probably the scene in which Medea tricked the daughters of Peleus: she killed an old ram, cut up its body and threw it in a boiling cauldron. Medea, a sorceress, restored the ram\\'s life and made it young. Whereupon Pelias\\' daughters kill Pelias and toss his body into the cauldron. Medea did not, however, restore Pelias\\' life and was driven out of Iolcus.	Attic
26.12.20	Boeotian (?) lekythos	Heavy fabric. Cup mouth (with vertical sides) and neck are black. The shoulder is decorated with a ring of dots. Below the rim, is a frieze of radiating leaves. Body zone is covered with a white ground and is decorated with diagonal lines criss-crossing one another (net pattern), with thin bands at the top and bottom. Below where the handle would havve been the body is reserved. Below is black, except for the reserved foot.	Boeotian (?)
26.12.21	Boeotian kylix	A. 14 vertical wavy lines; below rim two rows of dots.  B. Similar with 15 lines.  Swastika under each handle.  Side of foot reserved; underneath two black bands.  Inside black.	Boeotian
26.12.23	Boeotian black figure kylix	Outside, a dozen daubs of paint irregularly placed.  Inside, uneven band round rim and black daub in centre.	Boeotian
26.12.24A-B	Boeotian floral ware lekanis	Lid: The knob of the handle is flat and circular, the top of which is black, with a small reserved well in the centre. The rim and a band below it is reserved, but the rest of the stem and a thick band surrounding it is black. A reserved zone on the upper surface depicts six palmettes, with an ivy flower after each three. The outer rim of the lid is also black, as is the inside.\\n\\nLekanis: The resting surface for the lid is black. The two horizontal handles are decorated around the edge with vertical bars. On either side of each handle is a small protrusion, with a black line on each side. The walls, in the handle zone, are decorated with vertical wavy lines. The lower part of the body is black, as is in the interior. The base of the ring foot is reserved.	Boeotian
26.12.25	Attic black figure feeder	Top reserved with seven, hand drawn black spirals. The rest of the object is black with the exception of the base which is reserved.	Attic
26.12.26	Attic west slope ware oinochoe	The vessel bears an uneven black glaze, but it is partly fired red. There is a wide groove at the rim and two more at the upper part of the neck, from which seem to be hanging seven, double, semi-circular, white lines, each one flanked by vertical ones. There are also two grooves that contour the upper part of the vessel\\'s shoulder.  The latter bears decoration in white, of a branch with double-leaved (teardropped) motives. There is one last groove below that pattern.	Attic
26.12.27	lidded pyxis	The inside is streaky black, the outside is unpainted except the ledge at the bottom of the body which is streaky black. The flange supports the lid. The lid fits over the body to rest on the flange. The top of the lid is also flanged. From the middle of this flange rises a cut-off, grooved cone. The main surface of the lid is decorated with a streaky glaze with a repetitive pattern: two reserved vertical lines followed by a reserved oval. This seems to have been repeated around the whole body but one half of the glaze\\/pattern is missing.	 
26.12.28	Boeotian jug	Clay pale buff.  Decoration streaky brownish-black, in parts fired to red.  On shoulder, two wave bands between two straight.  Rest of vase black.  Bars across handle, black line round lip.  Side of foot and bottom reserved.	Boeotian
26.12.29	Boeotian or Euboean plemochoe	Black with reserved bands.	Boeotian or Euboean
26.12.2A-B	Corinthian lidded pyxis	Two handles, round with projections.  Base has concave sides.  Red band on rim.  In handle zone are black zigzags, on body black and red bands.  Flat base reserved.  Inside is a black band below rim and then a black band in the base.  Lid: Central circular knob with bands on top and down lid itself; rim set back to allow the lid to sit in pyxis.	Corinthian
26.12.3	Corinthian late protocorinthian alabastron; bombylios	Handle with hole for suspension.  On top of mouth are three concentric circles.  On side is a band.  Neck has daisy petal pattern.  Body: bands above and below the main design of a man attacking a lion.  At back large black circle with black centre.  In field rosettes with incisions intersecting at centre and dots.  Added red for decoration.  Many bands on base.	Corinthian
26.12.30	Boeotian black glaze kantharos	The inside of the cone is reserved.  Bottom of bowl inside is brown, probably because another base was placed inside it for firing.  Heavy faine (?).	Boeotian
26.12.31	Boeotian black glaze kantharos	Black glazed all over	Boeotian
26.12.32	Boeotian (?) black glaze stemless cup	Pale clay; greyish glaze, uneven reserved patches between handles (at join with body), inside of handles also reserved, reserved band above footring (possibly unintentional).  Footring black with narrow reserved resting surface.  Base reserved with large black disk in centre.	Boeotian (?)
26.12.33	Boeotian black glaze bowl	Decorated with black slip inside and out; dipped. The base is reserved except at the edges where drip marks extend over it.	Boeotian
26.12.34	Attic black glaze askos	Burnt; dull greyish black; where glaze has flaked off, dull grey beneath.  Ring handle with triple grooves, groove round lip; flat wide lip.  Sharp bend between upper and lower part of body. Large flat resting surface.  Underneath reserved.	Attic
26.12.4	Corinthian early corinthian aryballos	Top of mouth, bands; side, dots.  On shoulder, daisy pattern.  Between bands, two above and four below, four komasts in red chitons.  Rosettes and dots in field.  Bottom, large cetral spot and one thick circle.	Corinthian
26.12.5	Corinthian late corinthian i aryballos	On top of mouth, very broad band between two thin ones and a band on the side.  Shoulder design is radiating lines with a band below, double row of dots, another band.  Body: Lotus-palmette design (with traces of red\\/purple) flanked by two ducks whose tails overlap. Rosettes, one with double incised circle at centre, others with cross incisions in field.  Below design are bands.  Foot is black and base has three bands.	Corinthian
26.12.6	Corinthian middle corinthian amphoriskos	Pale greenish clay once decorated with black paint, now brown.  Two handles left reserved.  Mouth black and on shoulder is a daisy-petal pattern.  Just above the widest part of the body is a single row of dots and the rest is banded.	Corinthian
26.12.7	Boeotian kylix style kylix	Lip decorated with black vertical lines. Interior: Three concentric bands of red, each approximately 1.3 wide. There are three narrower concentric red bands at centre. Four small, round handles, arranged symetricaly, are decorated with the same vertical lines as on the rim. The body is decorated on with three bands: (1) vertical lines in red; (2) triangles filled in with cross-hatching alternating with small loops, each made up of three concentric semi-circles around a dot; (3) triangles inscribed with smaller triangles. Each band of decoration is separated by a triglyph compased of two thin red bands on either side of a thicker red band. There is a thicker red band towards the bottom of the foot. The edge of the foot is decorated with red vertical lines. Inside the flat resting surface are two concentric red bands.	Boeotian
26.12.8	Euboean black figure lekythos	Handle has black glaze on the outside. Shoulder: broad band at base of neck.  Between two dolphins a crossed rosette with white dots round edge.  White also for line at back of head of dolphins.  Body: two panthers facing, necks red.  Three shapeless blobs in field. Below main zone, thick black band onto top of foot. Resting surface of foot reserved.	Euboean
26.12.9	Euboean black figure lekythos	Lip black. Exterior of handle balck and interior reserved.  Shoulder: broad band at base of neck, from which hang bars with a white dot at bottom of each.  Body: six ivy leaves above six lotuses, buds alternating with flowers with white outer petals painted directly on the clay. Remander of the body and the foot in black. Resting surface and base reserved.	Euboean
26.2.1	Attic black figure dinos	Part of floral complex; applied red for heart of palmette.  Inside black.	Attic
26.2.10	East Greek bowl or cup	Outside, below a black band (only a trace on extreme left of fragment), part of lotus, black with red heart marked off by incisions, on a trailing stalk springing from the (missing) handle.	East Greek
26.2.100	amphora	Glaze a rather leaden black outside, chocolate brown inside. A festoon of lanceolate leaves in thinned clay hanging by means of an incised zigzag (debased arcs) from a white fillet.	 
26.2.11	East Greek bowl	Outisde, a spoked dot rosette.  Inside black with one group of thin bands white-red-white.	East Greek
26.2.12	cup	Lower third black whilst rest is red with two thin bands around the circumference.	 
26.2.13	East Greek cup	Outside, black fired red on buff.  Inside also brick red, with reserved band round upper part of rim.	East Greek
26.2.14	East Greek cup	Outside, on extreme right rim, an incised A, no doubt the first letter of name of dedicator.  Inside black except for reserved band at top of rim.	East Greek
26.2.15	East Greek cup	Inside black except reserved band at top of rim.	East Greek
26.2.16	East Greek cup	Outside of body streay black carying in part to brown.  inside, brick-red bands alternating with groups (six, four six) of thin lines of diluted glaze on a ground lighter still (very pale brown).  On the reserved foot an incised N or M.	East Greek
26.2.17	East Greek bowl	Floral complex in black with added red; suspended field ornament, inside black except rim, which is reserved and traces of white bands.	East Greek
26.2.18	East Greek camiran bowl	In the top zone, oblique palmette, wild goat to right with head turned back (only tip of beard preserved), added red on black and haunch, reserved line on belly, in field dot rosette, crossed dumb-bell ornament, dotted double spiral; black zone with bands white-red-white superimposed; rays (tip of one preserved). Inside black with a reserved band a little below rim and two groups of bands, white-red-white, roughly on a level with the top and bottom of the broad black band outside.	East Greek
26.2.19	Camiran camiran bowl	The underside is all black with a white-red-white band superimposed just below rim, which is reserved.  The topside has a cream slip with vertical bars around rim with a band below.  Below this is perhaps a sphinx or griffin (rump, tail, tip of wing) facing left with incised detail.  Rosette in the field under curl of tail..  Maybe an oblique palmette to the left.	Camiran
26.2.2	Attic black figure kylix	Lotus chain in handle zone (only part of interlacing stems preserved).  Broad concentric bands of red, black and orange with the orange bands separted by bands of brown gloss.	Attic
26.2.20	East Greek camiran bowl	Back of animal (lion?) with added red on neck and belly and incisions; dot and circle roundel. Inside black with thin bands white-red-white at the top.	East Greek
26.2.21	East Greek camiran bowl	Belly of goat to left and typical field ornaments; streaky black band with thin bands white-red-white superimposed; blobs in black with added red; a second black band with white-red-white superimposed. Inside black.	East Greek
26.2.22	East Greek camiran bowl	Hind paw and part of body of crouching lion; incisions; in the field a dotted semicircle; two broad bands with key pattern between them; at the bottom tips of petals. Inside black with a group of thin bands white-red-white.	East Greek
26.2.23	East Greek camiran bowl	Key pattern and plain bands in black on dirty very pale buff slip. Probably from a burnt vase. Inside black with two thin bands near the top and two at the bottom, now greyish white.	East Greek
26.2.24	East Greek skyphos	Interlaced lotuses and palmettes with details in red and incision, bordered above and below by lines of thinned black, on yellow-ish buff ground; buff black zone with two thin red bands along the top. Inside black.	East Greek
26.2.24A-B	East Greek skyphos	Interlaced black lotuses and palmettes with details in red and incision, bordered above and below by two lines of thinned black less than a half centimeter apart, on yellowish buff ground.  Underneith the second red line on the bottom there are three .1 width lines, with the bottom line bleeding into a broad black zone which contains two 2 thin .5 width red bands .5 apart from each other, the first starting immediately under the last of the three small black lines, while everything underneith and between the red lines is black.  Inside black.	East Greek
26.2.25	Uncertain bowl	Outisde, top and bottom brick red; in the middle a zone of panels, one with an X, one with a silhouette square, brick red on creamy-white. Inside black with a group of bands white-red-white.	Uncertain
26.2.26	Camiran dish	On underside are four thin black bands.  On topside, half the rim is painted black with a red and black band joined below.  Seven tongues are seen below the rim, every third one red.  They are sitting on a broad band of red between white on black.  This band is repeated again just below.	Camiran
26.2.27	Camiran dish (?)	On underside there are four thin streaky brownish bands with one thick black below.  Dribble of paint from rim has remained on this surface too.  On the topside, the rim is black with a darker band below and below that is a broken key pattern.  Main design is a dotted rosette with two circles for the centre.  This is between a white-red-white on black band.  Perhaps a trace of a tongue to left (?)	Camiran
26.2.28	Camiran (?) dish	Brownish buff ground. The underside has three evenly sized and spaced bands. The parts between are reserved. The topside has red band around rim, with bands of white-red-white on black below with a meander pattern in red followed by another set of red and white bands on black. There are the tips of tongues at the fracture coloured black and red.	Camiran (?)
26.2.29	Camiran dish	Brick red varying to streaky black on a thick white slip. Outside, two bands. Inside, perhaps part of body and beginning of shoulder of an animal facing left; lower part of a pendent triangle; dot and cross ornament in the field.	Camiran
26.2.3	Corinthian ring aryballos	Paint almost gone, incisions.  Fore-part of horse with rider, behind tail and hind quarters of another horse.	Corinthian
26.2.30	Camiran dish	Outside, a b=and below the rim, three lower down, faded black on greyish-buff clay. Inside, on a thin pale slip, large dots on the flat rim, a broad black band with thinner bands of red (and white?) superimposed, and what might be the top of a horse\\'s head to left, showing the beginning of the eye on the extreme left, the ear in the centre, and the main impinging on hte framing broad band.	Camiran
26.2.31	Rhodian: Camiran dish	The underside is reserved except for both sides of the foot ring which are black. The upper part is reserved apart from the decoration. This consists of a red band with three red, narrower ones below it. This forms the outline to the central medallion of black lotus buds and goups of palmette leaves which radiate from (missing) centre.	Rhodian: Camiran
26.2.32	Camiran dish	Red painted designs on cream-buff slip on orange red clay.  On the underside on the rim there are four .5 wide dashes at one side and a 2 horizontal bar at the other while on the underside body there are four red bands following the contours of the dish all between 1 and 3 apart.  On the topside, from top to bottom are four verticle bars alternating with 9 dot rosettes on rim, of which survive from left to right two verticle lines, nine dots, four verticle lines, and nine dots before the fragment ends.  On the top of the face of the dish itself is a ca. 1.5 broad red band and below this is a zone of lotus flowers and buds with a final 1 broad band below.	Camiran
26.2.33	East Greek flat-rimmed dish	Black (partly fired red) on thin creamy-buff slip. Outside, on edge of rim blobs; on body bands. Inside, on flat rim solid triangles and dots bordered by narrow bands of diluted black, on body key pattern; between this and the rim two bands, the outer and broader red, the inner black with thin, amost golden, inner edge.	East Greek
26.2.34	Camiran dish	No finished edges.  The underside has three brown bands only slightly darker than the clay itself.  The topside has a central design of concentric circles linked by three lines supporting two leaves.  This design is between two bands of white-red-white on black.	Camiran
26.2.35	Camiran dish	No finished edges.  The underside has broad streaky black bands on pale buff slip with slightly raised moulding that must have encircled top of stem with a thin and feint band around it.  Inside the dish, on pale buff slip, from top to bottom is the lower part of animal zone showing two hooved feet and grass.  Below is a red zigzag between two white-red-white on black bands.  Below and in centre of dish (now missing) is a rosette made of leaves with dots and spokes bewteen.	Camiran
26.2.36	Camiran dish	No finished edges.  The underside is reserved but there is a small trace of a band in the lowest corner.  The topside has possible traces of creamy slip.  In the centre are six red on black alternating tongues and these are between two stalked and dotted rosettes.  Above is the remains of a band with superimposed white and red on black and a similar band is below.	Camiran
26.2.37	Camiran plate	Underside has two red (for black) bands on creamy slipped ground, framed by foot-ring in brownish black. Upper side, on same ground, slight remains of figured zone with incisions, broad band with white-red-white on black, key pattern, broad band with slight raised moulding on inner circumference.	Camiran
26.2.38	 	 	 
26.2.39	Camiran dish	No finished edges.  On the underside of the dish fragment, on creamy-buff slip, are the slight remains of floral(?) zone above a black band thinned to golden brown at bottom with black rays and rough dots below that.  The topside is onate with a meander pattern inside two bands at bottom of fragment with black above with white-red-white band superimposed.  Above this band are red and white swirls surrounded by dots.	Camiran
26.2.4	Corinthian ring aryballos	Front: traces of front part of horse with reins.  Below handle: very slight traces of ?outline hand to left.  On handle: horizontal lines between vertical.	Corinthian
26.2.40	East Greek plate	Underside, black, turning to red within the double foot-ring; resting surface reserved. Upper side, winged feline (with incisions and applied red markings in the shape of inverted commas on soulder and down foreleg) to right with left paw raised above what may be the tail of a sitting bird or siren, red and incisions on field ornaments. Cream slip. Bands of red and white superimposed on black.	East Greek
26.2.41	Camiran oinochoe	Inside unpainted. Hind part of ruminant, perhaps bull, in which case the wavy lines descending on the right may be part of tail. Streaky black on brown.	Camiran
26.2.42	Camiran oinochoe	Inside unpainted. Goat to left with head turned back, reserved bands on belly and shoulder, spiral field ornament; rays. Black, partly fired red, on reddish brown. No traces of slip, but the surface is badly worn.	Camiran
26.2.43	Camiran oinochoe	2 zones of grazing goats; upper one head to right, and hind feet of a second goat, the lower: horn and back of goat facing left;black verging on brown or dark red, on thin cream slip, clay reddish, one edge of meander cross field ornament preserved on upper zone.	Camiran
26.2.44	Camiran oinochoe (?)	Above, tongues. Below, tendril and three leaves of an oblique palmette, suspended semi-circular ornament and shapeless blobs in the field. Brick red for black, with superimposed red on one tongue and two leaves. Ground creamy white.	Camiran
26.2.45	Camiran oinochoe	Outside: above tongues, below tendril and 3 leaves of an oblique palmette, small cruciform rosette and suspended semi-circle ornament, purplish black on white slip.	Camiran
26.2.46	Camiran oinochoe (?)	Above, tongues. Below, two leaves and tip of third of an oblique palmette to left, ring and dot field ornaments; on left, part of bird\\'s wing and tail with incisions; soe added red on wing. Black, mostly faded to grey, on crea mslip.	Camiran
26.2.47	Camiran oinochoe (?)	Key pattern between bands of white-red-white on black and, at the top, figured zone with incisions. Red (for black) on cream slip. Figured zone may contain part of a duck.	Camiran
26.2.48	Camiran oinochoe (?)	Above, paw and breast of couchant feline to right, incised details,in the field a shapeless blob. Below, hind quarters of animal to left, the belly indicated by a reserved band iwth a row of dots bounded above and below by a line of thinned black.  Typical Camiran field ornaments and suspended groups of elongated dots. No traces on either zone of applied red or white. Between these zones a band, now simply streaky, but perhaps originally white-red-white on black.	Camiran
26.2.49	Camiran oinochoe (?)	Standing siren or bird to right facing sitting bord or siren to left. Black on pinkish-buff with applied red on both figures. Incisions. Field rosettes, of early Corinthian type with incised lines crossing at centre, and blobs.	Camiran
26.2.5	East Greek rosette bowl	Inside, on the black ground, bands white-red-white.	East Greek
26.2.50	Camiran oinochoe (?)	Above, tongues. Below, hind part of lion (?) with incised details, round silhouette field ornaments, one with two incised lines crossing at centre. Black, varying in parts ot red, on thin creamy-buff ground, the bands above and below the animal zone originally with superimposed thin bands of white-red-white.	Camiran
26.2.51	Camiran oinochoe (?)	Three zones separated by black bands with superimposed white-red-white. Top zone practically all lost; second zone, sphinx to left with long erect tail; behind her the forepart of another; incisions, field rosettes; third zone, upper forepart of horned goat with reserved belly line, meander cross field ornament, groups of suspended short bars. Faded black on thin creamy buff.	Camiran
26.2.52	Camiran oinochoe (?)	Above, tongues. Below, hind part of goat or deer to left, field rosettes of a late type with parallel incised lines covering most of the disk and one or two at right angles to these in the remaining small sector (in the rosette under the goat\\'s leg, scarcely discernible on Pl. 22). Dull black, with applied red for animal\\'s rump and upper part of leg, on whitish buff.	Camiran
26.2.54	East Greek lid	Haunch of seated lion or sphinx with added red for belly stripe; rosette with double incised circle at centre. On the raised rim, black tongues. Cream slip.	East Greek
26.2.55	East Greek amphora	Palmette on back to back spirals; rough silhouetted squares between thin bands; quartered square, each quarter with a dot, and (in thinned black) left side of a meander that probably alternated with the quartered square. Faded black on cream slip.	East Greek
26.2.56	East Greek krater	On top of mouth meander, on side rough squares; neck black; at bottom of neck a ridge, tongues, figured zone showing a wing, supended half-rosette with double incised centre and a field rosette like the half-rosette, or fan-shaped. Black with incisions on cream slip.  Inside of neck black.	East Greek
26.2.57	East Greek column krater	On plate, back to back spirals joined by three thin lines between heart-shaped leaves; on rim proper, tips of five silhouetted triangles. Black, shading off to red, on creamy-buff. Sides of plate and outer side of handle black. Rest of underside shows teh clay rough and pinkish-black in colour.	East Greek
26.2.58	Deinos	On top of mouth, key pattern.  On shoulder, below a plain band, a star, and to te right of it the beginning of some rectangular pattern.	Deinos
26.2.59	Chiot chalice	Exterior cream ground with a pattern of thinned golden-brown waves set in between sets of two thin yellow lines which begin ca. 0.2 cm below the rim. Below: top of letters ON probably preceded by  E, or T or Greek Gamma. Interior is brown\\/black with remnants of a white floral pattern (four petals of a rosette), which is heavily worn.	Chiot
26.2.6	East Greek rosette bowl	Inside, on black ground, bands white-red-white	East Greek
26.2.60	Chiot chalice	Outside on cream ground, row of blobs between horizontal bands in black thinned to golden brown; top of curved shape below, Inside, lotus in white outline on black with red centres to petals.	Chiot
26.2.61	Chiot chalice	Exterior white with a small line of brown at the top. Interior brownish-black (except reserved within 0.2 cm of the lip) with lotus in white outline framing red centre.	Chiot
26.2.62	Chiot chalice	Outside on creamy-white ground in brownish black, leg of seated lion or sphinx, handle zone, saw pattern and group of veritical lines, inside: streaky brown, with superimposed white band near bottom, at right edge, half round hole indicating rivetting.	Chiot
26.2.63	Chiot chalice	Outside, on white slip, black vertical lines running down to horisontal band of golden brown at bottom corner; inside: black.	Chiot
26.2.64	Chiot chalice	Exterior creamy ground white with a pattern of nearly parallel brown curves that get increasingly shorter, creating a pie slice shape (perhaps the folds of skin on the neck of a bull, fracing right), along with part of a lower eyelid. Interior black with a red line alone one edge. Right above the red line is a white line. There are also a few other splotches of white, probably white outline of lotus flower (or two) with a red centre.	Chiot
26.2.65	Chiot chalice	Exterior creamy white. Interior black with 2 white bands at one edge; small part of white lotus in zone above; incised line (parallel to white lines) towards opposite edge.	Chiot
26.2.66	Chiot chalice	Exterior cream ground with two golden-brown bands running lengthwise, between two golden-brown lines. The interior shows two white bands running lengthwise on a brownish-black ground. One of the white bands is dashed, while the other is complete.	Chiot
26.2.67	Chiot chalice	Lower part of bowl with trace of beginning of conical foot, outside: on creamy ground, bands alternating purple red and golden brown, Inside: on streaky brownish black, 3 groups of bands white- red-white, and between bottom, 2 groups of white daisy petals	Chiot
26.2.68	Chiot chalice	Exterior white with one small red\\/brown section of a pattern at the highest point and one thick almost 1 red\\/brown line abour half way from the top. Interior is black\\/brown with a pair(?) of thin faded white lines 0.5 cm from the top edge; below, a repeating pattern of black teardrops, and below that a pattern of white lotus buds interspliced with red dots.	Chiot
26.2.69	Chiot chalice	Outside: white, inside: on black central medallion, white daisy petal and large red spot within 2 white circles.	Chiot
26.2.7	East Greek eye cup	Interior black; exterior decorated with red and white bands	East Greek
26.2.70	Chiot phiale	Outside creamy white; line C. 1c, below rim showing clay-incised?, Inside, on black, row of large white dots, 2 white bands, white-framed tongues alternating black and red.	Chiot
26.2.71	Chiot phiale	Outside: on cream ground, line of oblong black spots, one smudged, just below rim, between thinned lines of golden brown. Inside: on black, large white dots between bands, reserved and brown above, 2 white below; lotus bud in white outline with red heart.	Chiot
26.2.72	Chiot chalice	Clay the usual grey, but the white ground of the outside is more stony and less milky than normal. Outside, back hair in three tresses and a spiral curl and part of wing of sphinx. Inside streaky blac with one band of better preserved black due to disappearance of superimposed red or white.	Chiot
26.2.73	Chiot chalice	Shows tip of outer lotus petal on left and outer part of pendent bud, brownish-black on light buff; two bars on rim show applied red. Inside streaky black with bands white-red-white near rim and again at bottom of fragment.	Chiot
26.2.74-75	Clazomenian black figure amphora	Framed tongues, red on black and plain black alternately, with the top part of a tall cap, perhaps belonging to a Persian or an archer.	Clazomenian
26.2.76	Clazomenian amphora	Framed tongues, black and red alternately. In panel head and incised mane of horse or perhaps lion. Above the top border of teh tongues a reserved groove.	Clazomenian
26.2.77	Clazomenian amphora	Framed tongues, black and red alternately.	Clazomenian
26.2.78	Clazomenian amphora	Outside brick red (for black badly fired) on pinkish-buff ground. Applied red only for a thin band round bottom of neck. unframed tongues, red and black alternately. Inside of neck streaky black.	Clazomenian
26.2.79	Laconian red figure krater	Top of ri, inside of vase and outside below rim, black. Outside of rim reserved with zones in black of triangles, dots, broken-key pattern, dots. Underside of rim reserved.	Laconian
26.2.8	East Greek bowl	Buff Slip, inside in centre, a six-rayed star, red for black.	East Greek
26.2.80	Aeolic deinos	On flat top of mouth, tongues framed by incisions, every alternate one left black, the others red and white alternately. On shoulder, similar tongues similarly arranged. Inside streaky brownish black.	Aeolic
26.2.81	Aeolic deinos	One tongue has superimposed red, the rest now black. Inside painted a poor black varying to brick red.	Aeolic
26.2.82	Laconian kylix	On yellowish-buff slip: outside, pomegranate pattern, originally with superimposed red; inside, tongues, some with remains of superimposed red.	Laconian
26.2.83	Laconian kylix	On a chamois ground: outside, bands, thinned black black and red, the outermost with vertical bars running down into it; below, black petal tips. Inside, in black with added red and incisions, parts of two snakes from the hair of a gorgoneion.	Laconian
26.2.84	Corinthian (?) fragment	Two groups of bands, red, black, red, and at the top a black band.	Corinthian (?)
26.2.85	Corinthian jug	Hind leg of animal, rosettes with a few incisions; two bands, one red, one black. Brownish-black on pale buff ground. Inside streaky black.	Corinthian
26.2.86	Corinthian skyphos	On rim, between pairs of thin bands vertical wavy lines; below, the back of an animal; applied red between incisions for ribs and shoulder; above back, a row of dots. Pale buff ground. Inside streaky black.	Corinthian
26.2.87	Corinthian black figure fragment of ball aryballos	Probably quatrefoil. Brownish-black lines, arcs, and cross-hatching remain.	Corinthian
26.2.88	Corinthian aryballos	Four bands of different thickness round top and one round side. Black varying to reddish-brown on pale buff.	Corinthian
26.2.89	Corinthian column krater	Dolphin with incisions but no added colour now visible; one early type rosette with incisions crossing at centre, back on pale buff. Sides black.	Corinthian
26.2.9	East Greek unknown	Outside, irregular rays in thick outline.  Inside black except for a reserved medallion with two roughly drawn rings of thinned black.  Ground pink.	East Greek
26.2.90	Corinthian krater	On top faded lotus-palmette chain and, where handle plate began, tail of bird or siren. On side step pattern. On underside one plain band, now golden brown.	Corinthian
26.2.91	Corinthian krater	Outside, on red slip, breast and wing of siren or bird with neck and breast reserved, red for base of near wing, body black below it, black for outspread far wing with alternate red and black, marked off by incisions, for wing featers; rosette with two incised circles at centre and applied red on centre and each petal. Inside black.	Corinthian
